team_name,team_id,season,league,team_in_season,wins,losses,finish,average_age,average_height,average_weight,games,minutes,field_goals,field_goal_attempts,field_goal_percentage,three_points,three_point_attempts,three_point_percentage,two_points,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
SAS,SAS,2024-25,NBA,SAS,34,48,4,26.0,6-6,213,82,19730,3426,7362,.465,1158,3246,.357,2268,4116,.551,1332,1721,.774,896,2685,3581,2348,674,455,1138,1363,9342
SAS,SAS,2023-24,NBA,SAS,22,60,5,23.0,6-7,212,82,19830,3438,7436,.462,1036,2983,.347,2402,4453,.539,1280,1637,.782,849,2778,3627,2449,584,520,1242,1414,9192
SAS,SAS,2022-23,NBA,SAS,22,60,5,23.9,6-6,217,82,19855,3533,7593,.465,911,2640,.345,2622,4953,.529,1292,1739,.743,965,2619,3584,2232,572,322,1253,1630,9269
SAS,SAS,2021-22,NBA,SAS,34,48,4,24.5,6-6,211,82,19805,3546,7601,.467,925,2626,.352,2621,4975,.527,1262,1673,.754,901,2815,3716,2289,626,403,1043,1483,9279
SAS,SAS,2020-21,NBA,SAS,33,39,3,26.2,6-6,214,72,17480,3014,6518,.462,716,2046,.350,2298,4472,.514,1254,1584,.792,669,2489,3158,1759,505,366,821,1293,7998
SAS,SAS,2019-20,NBA,SAS,32,39,4,27.6,6-6,216,71,17215,2995,6350,.472,760,2021,.376,2235,4329,.516,1348,1664,.810,640,2530,3170,1751,518,390,895,1377,8098
TOR,TOR,2025-26,NBA,TOR,46,36,3,24.8,6-6,213,82,19780,3495,7250,.482,932,2633,.354,2563,4617,.555,1478,1922,.769,895,2557,3452,2417,722,395,1121,1710,9400
TOR,TOR,2024-25,NBA,TOR,30,52,3,24.5,6-6,214,82,19805,3414,7462,.458,969,2786,.348,2445,4676,.523,1294,1729,.748,1034,2666,3700,2340,664,348,1257,1738,9091
TOR,TOR,2023-24,NBA,TOR,25,57,5,25.9,6-6,212,82,19805,3466,7356,.471,942,2712,.347,2524,4644,.543,1339,1772,.756,891,2607,3498,2335,634,388,1147,1509,9213
TOR,TOR,2022-23,NBA,TOR,41,41,5,25.8,6-6,217,82,19805,3434,7489,.459,880,2626,.335,2554,4863,.525,1506,1922,.784,1043,2485,3528,1961,772,424,956,1641,9254
TOR,TOR,2021-22,NBA,TOR,48,34,3,24.8,6-6,216,82,19855,3332,7489,.445,979,2808,.349,2353,4681,.503,1327,1749,.759,1095,2622,3717,1809,738,376,1021,1607,8970
TOR,TOR,2020-21,NBA,TOR,27,45,5,26.6,6-5,215,72,17305,2859,6383,.448,1041,2831,.368,1818,3552,.512,1252,1536,.815,680,2314,2994,1735,618,388,952,1526,8011
TOR,TOR,2019-20,NBA,TOR,53,19,1,26.6,6-5,215,72,17380,2897,6331,.458,995,2663,.374,1902,3668,.519,1329,1670,.796,685,2583,3268,1816,636,358,1067,1559,8118
UTA,UTA,2025-26,NBA,UTA,22,60,5,24.1,6-7,219,82,19830,3489,7469,.467,1036,3006,.345,2453,4463,.550,1628,2071,.786,984,2609,3593,2429,729,309,1272,1733,9642
UTA,UTA,2024-25,NBA,UTA,17,65,5,23.9,6-7,218,82,19805,3305,7272,.454,1144,3267,.350,2161,4005,.540,1421,1836,.774,983,2741,3724,2093,555,360,1412,1549,9175
UTA,UTA,2023-24,NBA,UTA,31,51,4,25.1,6-7,217,82,19805,3443,7371,.467,1060,2993,.354,2383,4378,.544,1538,1853,.830,1002,2725,3727,2232,537,458,1285,1523,9484
UTA,UTA,2022-23,NBA,UTA,37,45,4,26.5,6-6,218,82,19805,3485,7365,.473,1094,3099,.353,2391,4266,.560,1536,1955,.786,968,2794,3762,2129,500,429,1259,1679,9600
UTA,UTA,2021-22,NBA,UTA,49,33,1,29.3,6-5,222,82,19730,3327,7067,.471,1192,3308,.360,2135,3759,.568,1470,1916,.767,884,2916,3800,1836,588,402,1149,1547,9316
UTA,UTA,2020-21,NBA,UTA,52,20,1,28.5,6-6,222,72,17355,2971,6344,.468,1205,3098,.389,1766,3246,.544,1235,1546,.799,765,2709,3474,1703,474,371,1023,1335,8382
UTA,UTA,2019-20,NBA,UTA,44,28,3,27.3,6-6,222,72,17355,2886,6130,.471,963,2537,.380,1923,3593,.535,1278,1641,.779,656,2577,3233,1615,438,292,1089,1468,8013
WAS,WAS,2025-26,NBA,WAS,17,65,5,23.5,6-6,201,82,19755,3428,7409,.463,1070,2983,.359,2358,4426,.533,1332,1738,.766,900,2536,3436,2054,655,452,1284,1750,9258
WAS,WAS,2024-25,NBA,WAS,18,64,5,23.5,6-7,207,82,19730,3233,7371,.439,1075,3210,.335,2158,4161,.519,1315,1690,.778,867,2716,3583,2058,623,420,1276,1618,8856
WAS,WAS,2023-24,NBA,WAS,15,67,5,24.9,6-6,210,82,19730,3523,7493,.470,1015,2915,.348,2508,4578,.548,1266,1657,.764,755,2613,3368,2288,623,415,1147,1637,9327
WAS,WAS,2022-23,NBA,WAS,35,47,3,26.2,6-7,213,82,19755,3456,7127,.485,925,2601,.356,2531,4526,.559,1442,1838,.785,774,2804,3578,2083,561,424,1158,1539,9279
WAS,WAS,2021-22,NBA,WAS,35,47,4,25.9,6-6,214,82,19830,3327,7056,.472,860,2512,.342,2467,4544,.543,1393,1778,.783,737,2798,3535,2052,522,406,1077,1545,8907
WAS,WAS,2020-21,NBA,WAS,34,38,3,26.6,6-6,216,72,17405,3108,6547,.475,733,2088,.351,2375,4459,.533,1449,1884,.769,697,2557,3254,1835,528,297,1037,1555,8398
WAS,WAS,2019-20,NBA,WAS,25,47,4,25.1,6-5,211,72,17355,2990,6544,.457,864,2345,.368,2126,4199,.506,1394,1770,.788,732,2295,3027,1801,574,309,1020,1634,8238
