team_id,season,lg_id,team_name,wins,losses,win_loss_pct,rank_team,srs,DUMMY,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel,rank_team_playoffs,coaches,top_ws
POR,2021-22,NBA,Portland Trail Blazers,27,55,.329,4th of 5,-8.55,,98.3,0.1,107.8,-4.2,116.9,4.9,,C. Billups(27-55),J. NurkiÄ(3.6)
POR,2020-21,NBA,Portland Trail Blazers*,42,30,.583,3rd of 5,1.81,,98.4,-0.8,117.8,5.5,116.0,3.7,Lost W. Conf. 1st Rnd.,T. Stotts(42-30),D. Lillard(10.4)
POR,2019-20,NBA,Portland Trail Blazers*,35,39,.473,4th of 5,-0.61,,100.7,0.4,113.7,3.1,114.8,4.2,Lost W. Conf. 1st Rnd.,T. Stotts(35-39),D. Lillard(11.6)
SAC,2025-26,NBA,Sacramento Kings,22,60,.268,5th of 5,-9.58,,99.2,-0.2,111.4,-4.4,121.5,5.7,,D. Christie(22-60),D. DeRozan(5.6)
SAC,2024-25,NBA,Sacramento Kings,40,42,.488,4th of 5,0.58,,98.2,-0.6,116.7,2.2,116.2,1.7,,"M. Brown(13-18),D. Christie(27-24)",D. Sabonis(10.1)
SAC,2023-24,NBA,Sacramento Kings,46,36,.561,4th of 5,2.29,,98.8,0.3,116.9,1.6,115.2,-0.1,,M. Brown(46-36),D. Sabonis(12.6)
SAC,2022-23,NBA,Sacramento Kings*,48,34,.585,1st of 5,2.30,,100.3,1.2,119.4,4.6,116.8,2.0,Lost W. Conf. 1st Rnd.,M. Brown(48-34),D. Sabonis(12.6)
SAC,2021-22,NBA,Sacramento Kings,30,52,.366,5th of 5,-5.26,,99.8,1.6,109.9,-2.1,115.3,3.3,,"L. Walton(6-11),A. Gentry(24-41)",H. Barnes(6.0)
SAC,2020-21,NBA,Sacramento Kings,31,41,.431,5th of 5,-3.45,,100.0,0.8,113.6,1.3,117.2,4.9,,L. Walton(31-41),R. Holmes(6.1)
SAC,2019-20,NBA,Sacramento Kings,31,41,.431,4th of 5,-1.59,,98.9,-1.4,110.2,-0.4,112.2,1.6,,L. Walton(31-41),N. Bjelica(5.3)
SAS,2025-26,NBA,San Antonio Spurs*,62,20,.756,1st of 5,8.28,,99.9,0.5,119.6,3.8,111.3,-4.5,Lost Finals,M. Johnson(62-20),V. Wembanyama(10.0)
SAS,2024-25,NBA,San Antonio Spurs,34,48,.415,4th of 5,-2.45,,99.3,0.5,114.4,-0.1,117.2,2.7,,"G. Popovich(2-3),M. Johnson(32-45)",C. Paul(5.7)
SAS,2023-24,NBA,San Antonio Spurs,22,60,.268,5th of 5,-5.80,,101.1,2.6,110.0,-5.3,116.4,1.1,,G. Popovich(22-60),T. Jones(4.9)
SAS,2022-23,NBA,San Antonio Spurs,22,60,.268,5th of 5,-9.82,,101.6,2.5,110.2,-4.6,120.0,5.2,,G. Popovich(22-60),T. Jones(3.4)
SAS,2021-22,NBA,San Antonio Spurs,34,48,.415,4th of 5,0.02,,100.0,1.8,112.4,0.4,112.3,0.3,,G. Popovich(34-48),D. Murray(7.3)
SAS,2020-21,NBA,San Antonio Spurs,33,39,.458,3rd of 5,-1.58,,98.9,-0.3,111.0,-1.3,112.8,0.5,,G. Popovich(33-39),D. DeRozan(7.4)
SAS,2019-20,NBA,San Antonio Spurs,32,39,.451,4th of 5,-0.65,,100.5,0.2,112.4,1.8,113.5,2.9,,G. Popovich(32-39),D. DeRozan(7.3)
TOR,2025-26,NBA,Toronto Raptors*,46,36,.561,3rd of 5,2.75,,98.4,-1.0,115.9,0.1,113.0,-2.8,Lost E. Conf. 1st Rnd.,D. Rajakovic(46-36),S. Barnes(7.8)
TOR,2024-25,NBA,Toronto Raptors,30,52,.366,3rd of 5,-4.40,,99.7,0.9,110.5,-4.0,114.8,0.3,,D. Rajakovic(30-52),J. Poeltl(5.5)
TOR,2023-24,NBA,Toronto Raptors,25,57,.305,5th of 5,-6.45,,99.4,0.9,112.3,-3.0,118.8,3.5,,D. Rajakovic(25-57),S. Barnes(4.3)
TOR,2022-23,NBA,Toronto Raptors,41,41,.500,5th of 5,1.59,,97.1,-2.0,115.5,0.7,114.0,-0.8,,N. Nurse(41-41),P. Siakam(7.8)
TOR,2021-22,NBA,Toronto Raptors*,48,34,.585,3rd of 5,2.38,,96.0,-2.2,112.9,0.9,110.5,-1.5,Lost E. Conf. 1st Rnd.,N. Nurse(48-34),P. Siakam(8.1)
TOR,2020-21,NBA,Toronto Raptors,27,45,.375,5th of 5,-0.54,,99.2,0.0,112.0,-0.3,112.5,0.2,,N. Nurse(27-45),C. Boucher(6.1)
TOR,2019-20,NBA,Toronto Raptors*,53,19,.736,1st of 5,5.97,,100.9,0.6,111.1,0.5,105.0,-5.6,Lost E. Conf. Semis,N. Nurse(53-19),K. Lowry(7.5)
UTA,2025-26,NBA,Utah Jazz,22,60,.268,5th of 5,-8.05,,102.3,2.9,114.1,-1.7,122.3,6.5,,W. Hardy(22-60),L. Markkanen(3.5)
UTA,2024-25,NBA,Utah Jazz,17,65,.207,5th of 5,-8.51,,100.0,1.2,111.2,-3.3,120.4,5.9,,W. Hardy(17-65),W. Kessler(5.4)
UTA,2023-24,NBA,Utah Jazz,31,51,.378,4th of 5,-4.22,,99.5,1.0,115.5,0.2,120.4,5.1,,W. Hardy(31-51),L. Markkanen(6.2)
UTA,2022-23,NBA,Utah Jazz,37,45,.451,4th of 5,-1.03,,100.5,1.4,115.8,1.0,116.7,1.9,,W. Hardy(37-45),L. Markkanen(8.2)
UTA,2021-22,NBA,Utah Jazz*,49,33,.598,1st of 5,5.67,,97.1,-1.1,116.7,4.7,110.5,-1.5,Lost W. Conf. 1st Rnd.,Q. Snyder(49-33),R. Gobert(11.7)
UTA,2020-21,NBA,Utah Jazz*,52,20,.722,1st of 5,8.97,,98.5,-0.7,117.6,5.3,108.3,-4.0,Lost W. Conf. Semis,Q. Snyder(52-20),R. Gobert(11.3)
UTA,2019-20,NBA,Utah Jazz*,44,28,.611,3rd of 5,2.52,,98.6,-1.7,112.3,1.7,109.9,-0.7,Lost W. Conf. 1st Rnd.,Q. Snyder(44-28),R. Gobert(10.7)
WAS,2025-26,NBA,Washington Wizards,17,65,.207,5th of 5,-11.62,,101.4,2.0,111.0,-4.8,122.7,6.9,,B. Keefe(17-65),J. Champagnie(3.1)
WAS,2024-25,NBA,Washington Wizards,18,64,.220,5th of 5,-12.14,,100.9,2.1,106.8,-7.7,119.1,4.6,,B. Keefe(18-64),J. Champagnie(2.8)
WAS,2023-24,NBA,Washington Wizards,15,67,.183,5th of 5,-9.29,,102.7,4.2,110.5,-4.8,119.6,4.3,,"W. Unseld(7-36),B. Keefe(8-31)",T. Jones(4.5)
WAS,2022-23,NBA,Washington Wizards,35,47,.427,3rd of 5,-1.06,,98.6,-0.5,114.4,-0.4,115.6,0.8,,W. Unseld(35-47),K. PorziÅÄ£is(7.7)
WAS,2021-22,NBA,Washington Wizards,35,47,.427,4th of 5,-3.23,,97.0,-1.2,111.1,-0.9,114.5,2.5,,W. Unseld(35-47),D. Gafford(6.0)
WAS,2020-21,NBA,Washington Wizards*,34,38,.472,3rd of 5,-1.85,,104.1,4.9,111.2,-1.1,113.0,0.7,Lost E. Conf. 1st Rnd.,S. Brooks(34-38),B. Beal(5.9)
WAS,2019-20,NBA,Washington Wizards,25,47,.347,4th of 5,-5.24,,102.7,2.4,110.9,0.3,115.5,4.9,,S. Brooks(25-47),B. Beal(5.1)
